Abade de Neiva, 72, 100.
Abadim, 58. 
Abrantes, 219, 225.
Açores (freg. de Celorico da Beira), 154, 166-168.
Adeganha, 26-27.
A dos Ruivos, 276.
Águas de Moura, 311.
Aguçadoura, 71
Águeda, 125, 150.
Alandroal, 339, 341.
Albergaria-a-Velha, 121
Albernoa, 363.
Albuquerque, 325.
Alcácer do Sal, 310-311, 313.
Alcáçovas, 314.
Alcafozes, 205. Alcaide, 211.
Alcobaça, 237, 242, 323, 334.
Alcochete, 305.
Alcorochel, 247.
Alcoutim, 369.
Aldeia do Couço, 28.
Aldeia Galega, 264.
Aldeia Gavinha, 264.
Aldeia da Tôr, 378.
Aldeia Viçosa, 167.
Alenquer, 66, 265-266.
Alfeite, 306.
Algeruz, 311. 
Alhancira, 311.
Alhões, 185. 
Aljezur, 387. 
Aljubarrota, 222, 240.
Almada, 305. 
Almadena, 386. 
Almeida, 174. 
Almeirim, 249, 251. 
Almofala, 175, 177.
Almourol, 226, 294. 
Alpalhão, 323.
Alpedrinha, 212, 325.
Alpiarça, 249, 252.
Alte, 378.
Alter do Chão, 321, 328.
Alter Pedroso, 325.
Álvaro, 219.
Alvite, 57. 
Alvito, 360. 
Amarante, 48-50, 52-54.
Amor, 234. 
Anadia, 150. 
Ançã, 136. 
Angeja, 120.
Antas, 63. 
Apúlia, 72.
Aranhas, 201. 
Arcos de Valdevez, 87-88.
Arez, 325
Armação de Pêra, 377.
Arneiro, 249.
Arões, 56. 
Arouca, 150-152, 154.
Arraiolos, 315-317. 
Arronches, 331.
Arruda dos Vinhos, 253, 255, 265.
Atalaia, 225.
Atouguia da Baleia, 270-271.
Aveiro, 121, 124, 323. 376.
Aveleda (aldeia de Rio de Onor), 30.
A-Ver-o-Mar, 71.
Avis, 317-325.
Azambuja, 29.
Azenhas do Mar, 281,
Azevo, 161.
Azinhaga, 248.
Azinhoso, 23-24.
Azurara, 66.
Baçal, 30, 33.
Baião, 52-53.
Bairrada, 127.
Baleai, 271.
Baleizão, 355-356.
Balugães, 73-74.
Barca de Alva, 178.
Barcelos, 72, 98. 100.
Barreiro, 306.
Barrinha de Mira, 129,
Batalha, 237, 240, 243, 250, 314.
Beberriqueira, 226.
Beja, 355-357.
Belmonte, 158-160, 180, 197, 252.
Benafrim, 382.
Benavente, 252.
Benavila, 325.
Benquerença, 200
Bensafrim, 382. 
Berlengas, 271-272. 
Bertiandos, 79. 
Bigorne, 185. 
Boialvo, 150. 
Boliqueime, 382.
Bombarral, 277. 
Bom Jesus (Braga), 95, 188. 
Borba, 336-337.
Braga, 89-91, 93, 100, 154, 323.
Bragança, 16, 28-29, 33, 35, 37, 376.
Bravães, 88.
Briteiros (citânia), 61, 97, 105.
Brito, 106.
Brogueira, 247.
Brotas, 319. 
Buçaco, 149-150.
Budens, 382, 386.
Bustelo, 185.
Cabeceiras de Basto, 56-58.
Cabeço de Vide, 325. 
Caçardhos, 20. 
Cachopo, 370.
Caldas da Rainha, 266-267.
Caminha, 81-82.
Campanas, 127.
Campo Maior, 331.
Canedo de Basto, 56.
Cantanhede, 127-128.
Capinha, 200.
Carcavelos, 285.
Cardanha, 26.
Carrazedo de Montenegro, 40-41.
Carvalhal, 319.
Carvalhal de Óbidos, 275. 290.
Carvas, 42.
Casais do Livramento, 245.
Cascais, 287.
Castelo do Bode, 225.
Castelo Bom, 174.
Castelo Branco (cidade), 213, 215-216, 218, 325.
Castelo Branco (freg. do concelho de Mogadouro), 24.
Castelo de Vide, 323-325.
Castelões, 118. 
Castelo Mendo, 174.
Castelo Novo, 213-215.
Castelo Rodrigo, 178-180.
Castro Daire, 183-185.
Castro Laboreiro, 48, 84-86.
Castro Marim, 371.
Castro Verde, 363-365.
Celorico de Basto, 56, 59.
Celorico da Beira, 166, 168,
Cercal (do concelho de Cadaval), 266.
Cerrada Grande, 249.
Cete, 107. 
Chamoim, 102. 
Chaves, 36-40. 
Cholda, 249. 
Ciborro, 320. 
Cidadelhe, 157-158, 160-162, 164-166.
Ciladas de S. Romão, 339.
Clarines, 382.
Coentral, 145.
Coimbra, 135-137, 141, 143-144, 168, 184, 201.
Conímbriga, 131, 135.
Constância, 223. 
Corujos, 370.
Cós, 237, 241. 
Cova da Beira, 206, 211. 
Covide, 102. 
Covilhã, 197-199. 
Crato, 321-322, 325. 
Cucujães, 20.
Cumeeira, 47.
Delães, 106. 
Divisões, 249. 
Dogueno, 382.
Dois Portos, 253, 256.
Donas, 211.
Duas Igrejas, 22.
Eiras, 164-165.
Elvas, 332-333, 339.
Entradas, 364. 
Ereira, 130-131.
Ericeira, 278, 280.
Ermelo, 88.
Ermida, 185. 
Escalhão, 178.
Escarigo, 175, 177. 
Esmoriz, 117.
Espiçandeira, 265.
Espiche, 386.
Espinho, 117.
Esposende, 72
Estarreja, 120. 
Estevais, 26. 
Estói, 373. 
Estômbar, 382.
Estoril, 287.
Estorninhos, 370.
Estremoz, 325-326, 333-334.
Évora, 210, 316, 342-343, 347-348, 359-360.
Évora Monte, 335-336.
Fafe, 56.
Fão, 72.  
Faro, 374-377.
Fátima, 44, 233.
Feira (Vila da), 117, 245.
Feiteira, 370.
Felgueiras, 54.
Ferreira, 107.
Ferreirim, 189-191, 261.
Ferrel, 270-271.
Figueira da Foz, 130.
